urban,sub_district,city,postal_code,province_code
ABAH LUENG,BANDAR BARU,PIDIE JAYA,24184,11
ABAIL,TEUPAH TENGAH,SIMEULUE,23891,11
ABEUK BUDI,JULI,BIREUEN,24251,11
ABEUK GEULANTEU,MADAT,ACEH TIMUR,24458,11
ABEUK JALOH,JANGKA,BIREUEN,24261,11
ABEUK LEUPON (LEUPEN),LHOKSUKON,ACEH UTARA,24382,11
ABEUK REULING,SAWANG,ACEH UTARA,24377,11
ABEUK TINGKEUM,JEUMPA,BIREUEN,24251,11
ABEUK USONG,JEUMPA,BIREUEN,24251,11
ABO TEUBENG,PIDIE,PIDIE,24151,11
ADAN,BANDAR DUA,PIDIE JAYA,24188,11
ADAN,TANGAN-TANGAN,ACEH BARAT DAYA,23763,11
ADANG,PADANG TIJI,PIDIE,24161,11
AFDELING II BUKIT / BUKET,BIREM BAYEUN,ACEH TIMUR,24452,11
AGUSEN,BLANG KEJEREN,GAYO LUES,24655,11
AIH SELAH,PANTAN CUACA,GAYO LUES,24654,11
AIR BERUDANG,TAPAK TUAN,ACEH SELATAN,23711,11
AIR DINGIN,SIMEULEU TIMUR,SIMEULUE,23891,11
AIR MASIN,SERUWAY,ACEH TAMIANG,24473,11
AIR PINANG,SIMEULEU TIMUR,SIMEULUE,23891,11
AIR PINANG,TAPAK TUAN,ACEH SELATAN,23711,11
AIR SIALANG HILIR,SAMA DUA,ACEH SELATAN,23752,11
AIR SIALANG HULU,SAMA DUA,ACEH SELATAN,23752,11
AIR SIALANG TENGAH,SAMA DUA,ACEH SELATAN,23752,11
AJEE CUT,INGIN JAYA,ACEH BESAR,23371,11
AJEE PAGAR AIR,INGIN JAYA,ACEH BESAR,23371,11
AJEE RAYEUK,INGIN JAYA,ACEH BESAR,23371,11
AJUEN,PEUKAN BADA,ACEH BESAR,23351,11
AKANG SIWAH,BLANG PEGAYON,GAYO LUES,24653,11
AKHIH MAJILE,LEUSER,ACEH TENGGARA,24673,11
AKI NEUNGOH,BANDAR BARU,PIDIE JAYA,24184,11
AKUL,BLANG JERANGO,GAYO LUES,24655,11
ALAI,KLUET TIMUR,ACEH SELATAN,23772,11
ALAM JAYA,GAJAH PUTIH,BENER MERIAH,24553,11
ALAS MEMANCAR,BABUSSALAM,ACEH TENGGARA,24651,11
ALAS MESIKHAT,BABUL RAHMAH,ACEH TENGGARA,24673,11
ALEN,SYAMTALIRA BAYU,ACEH UTARA,24373,11
ALEU RAMBONG,JULI,BIREUEN,24251,11
