id,name,type,shipping_province_id
17,Badung,Kabupaten,1
32,Bangli,Kabupaten,1
94,Buleleng,Kabupaten,1
114,Denpasar,Kota,1
128,Gianyar,Kabupaten,1
161,Jembrana,Kabupaten,1
170,Karangasem,Kabupaten,1
197,Klungkung,Kabupaten,1
447,Tabanan,Kabupaten,1
27,Bangka,Kabupaten,2
28,Bangka Barat,Kabupaten,2
29,Bangka Selatan,Kabupaten,2
30,Bangka Tengah,Kabupaten,2
56,Belitung,Kabupaten,2
57,Belitung Timur,Kabupaten,2
334,Pangkal Pinang,Kota,2
106,Cilegon,Kota,3
232,Lebak,Kabupaten,3
331,Pandeglang,Kabupaten,3
402,Serang,Kabupaten,3
403,Serang,Kota,3
455,Tangerang,Kabupaten,3
456,Tangerang,Kota,3
457,Tangerang Selatan,Kota,3
62,Bengkulu,Kota,4
63,Bengkulu Selatan,Kabupaten,4
64,Bengkulu Tengah,Kabupaten,4
65,Bengkulu Utara,Kabupaten,4
175,Kaur,Kabupaten,4
183,Kepahiang,Kabupaten,4
233,Lebong,Kabupaten,4
294,Muko Muko,Kabupaten,4
379,Rejang Lebong,Kabupaten,4
397,Seluma,Kabupaten,4
39,Bantul,Kabupaten,5
135,Gunung Kidul,Kabupaten,5
210,Kulon Progo,Kabupaten,5
419,Sleman,Kabupaten,5
501,Yogyakarta,Kota,5
151,Jakarta Barat,Kota,6
152,Jakarta Pusat,Kota,6
153,Jakarta Selatan,Kota,6
154,Jakarta Timur,Kota,6
155,Jakarta Utara,Kota,6
189,Kepulauan Seribu,Kabupaten,6
77,Boalemo,Kabupaten,7
88,Bone Bolango,Kabupaten,7
129,Gorontalo,Kabupaten,7
130,Gorontalo,Kota,7
131,Gorontalo Utara,Kabupaten,7
361,Pohuwato,Kabupaten,7
50,Batang Hari,Kabupaten,8
97,Bungo,Kabupaten,8
156,Jambi,Kota,8
194,Kerinci,Kabupaten,8
280,Merangin,Kabupaten,8
293,Muaro Jambi,Kabupaten,8
393,Sarolangun,Kabupaten,8
442,Sungaipenuh,Kota,8
460,Tanjung Jabung Barat,Kabupaten,8
461,Tanjung Jabung Timur,Kabupaten,8
471,Tebo,Kabupaten,8
22,Bandung,Kabupaten,9
23,Bandung,Kota,9
24,Bandung Barat,Kabupaten,9
34,Banjar,Kota,9
54,Bekasi,Kabupaten,9
55,Bekasi,Kota,9
78,Bogor,Kabupaten,9
79,Bogor,Kota,9
103,Ciamis,Kabupaten,9
104,Cianjur,Kabupaten,9
107,Cimahi,Kota,9
108,Cirebon,Kabupaten,9
109,Cirebon,Kota,9
115,Depok,Kota,9
126,Garut,Kabupaten,9
149,Indramayu,Kabupaten,9
171,Karawang,Kabupaten,9
211,Kuningan,Kabupaten,9
252,Majalengka,Kabupaten,9
332,Pangandaran,Kabupaten,9
376,Purwakarta,Kabupaten,9
428,Subang,Kabupaten,9
430,Sukabumi,Kabupaten,9
431,Sukabumi,Kota,9
440,Sumedang,Kabupaten,9
468,Tasikmalaya,Kabupaten,9
469,Tasikmalaya,Kota,9
37,Banjarnegara,Kabupaten,10
41,Banyumas,Kabupaten,10
49,Batang,Kabupaten,10
76,Blora,Kabupaten,10
91,Boyolali,Kabupaten,10
92,Brebes,Kabupaten,10
105,Cilacap,Kabupaten,10
113,Demak,Kabupaten,10
134,Grobogan,Kabupaten,10
163,Jepara,Kabupaten,10
169,Karanganyar,Kabupaten,10
177,Kebumen,Kabupaten,10
181,Kendal,Kabupaten,10
196,Klaten,Kabupaten,10
209,Kudus,Kabupaten,10
249,Magelang,Kabupaten,10
250,Magelang,Kota,10
344,Pati,Kabupaten,10
348,Pekalongan,Kabupaten,10
349,Pekalongan,Kota,10
352,Pemalang,Kabupaten,10
375,Purbalingga,Kabupaten,10
377,Purworejo,Kabupaten,10
380,Rembang,Kabupaten,10
386,Salatiga,Kota,10
398,Semarang,Kabupaten,10
399,Semarang,Kota,10
427,Sragen,Kabupaten,10
433,Sukoharjo,Kabupaten,10
445,Surakarta (Solo),Kota,10
472,Tegal,Kabupaten,10
473,Tegal,Kota,10
476,Temanggung,Kabupaten,10
497,Wonogiri,Kabupaten,10
498,Wonosobo,Kabupaten,10
31,Bangkalan,Kabupaten,11
42,Banyuwangi,Kabupaten,11
51,Batu,Kota,11
74,Blitar,Kabupaten,11
75,Blitar,Kota,11
80,Bojonegoro,Kabupaten,11
86,Bondowoso,Kabupaten,11
133,Gresik,Kabupaten,11
160,Jember,Kabupaten,11
164,Jombang,Kabupaten,11
178,Kediri,Kabupaten,11
179,Kediri,Kota,11
222,Lamongan,Kabupaten,11
243,Lumajang,Kabupaten,11
247,Madiun,Kabupaten,11
248,Madiun,Kota,11
251,Magetan,Kabupaten,11
256,Malang,Kota,11
255,Malang,Kabupaten,11
289,Mojokerto,Kabupaten,11
290,Mojokerto,Kota,11
305,Nganjuk,Kabupaten,11
306,Ngawi,Kabupaten,11
317,Pacitan,Kabupaten,11
330,Pamekasan,Kabupaten,11
342,Pasuruan,Kabupaten,11
343,Pasuruan,Kota,11
363,Ponorogo,Kabupaten,11
369,Probolinggo,Kabupaten,11
370,Probolinggo,Kota,11
390,Sampang,Kabupaten,11
409,Sidoarjo,Kabupaten,11
418,Situbondo,Kabupaten,11
441,Sumenep,Kabupaten,11
444,Surabaya,Kota,11
487,Trenggalek,Kabupaten,11
489,Tuban,Kabupaten,11
492,Tulungagung,Kabupaten,11
61,Bengkayang,Kabupaten,12
168,Kapuas Hulu,Kabupaten,12
176,Kayong Utara,Kabupaten,12
195,Ketapang,Kabupaten,12
208,Kubu Raya,Kabupaten,12
228,Landak,Kabupaten,12
279,Melawi,Kabupaten,12
364,Pontianak,Kabupaten,12
365,Pontianak,Kota,12
388,Sambas,Kabupaten,12
391,Sanggau,Kabupaten,12
395,Sekadau,Kabupaten,12
415,Singkawang,Kota,12
417,Sintang,Kabupaten,12
18,Balangan,Kabupaten,13
33,Banjar,Kabupaten,13
35,Banjarbaru,Kota,13
36,Banjarmasin,Kota,13
43,Barito Kuala,Kabupaten,13
143,Hulu Sungai Selatan,Kabupaten,13
144,Hulu Sungai Tengah,Kabupaten,13
145,Hulu Sungai Utara,Kabupaten,13
203,Kotabaru,Kabupaten,13
446,Tabalong,Kabupaten,13
452,Tanah Bumbu,Kabupaten,13
454,Tanah Laut,Kabupaten,13
466,Tapin,Kabupaten,13
44,Barito Selatan,Kabupaten,14
45,Barito Timur,Kabupaten,14
46,Barito Utara,Kabupaten,14
136,Gunung Mas,Kabupaten,14
167,Kapuas,Kabupaten,14
174,Katingan,Kabupaten,14
205,Kotawaringin Barat,Kabupaten,14
206,Kotawaringin Timur,Kabupaten,14
221,Lamandau,Kabupaten,14
296,Murung Raya,Kabupaten,14
326,Palangka Raya,Kota,14
371,Pulang Pisau,Kabupaten,14
405,Seruyan,Kabupaten,14
432,Sukamara,Kabupaten,14
19,Balikpapan,Kota,15
66,Berau,Kabupaten,15
89,Bontang,Kota,15
214,Kutai Barat,Kabupaten,15
215,Kutai Kartanegara,Kabupaten,15
216,Kutai Timur,Kabupaten,15
341,Paser,Kabupaten,15
354,Penajam Paser Utara,Kabupaten,15
387,Samarinda,Kota,15
96,Bulungan (Bulongan),Kabupaten,16
257,Malinau,Kabupaten,16
311,Nunukan,Kabupaten,16
450,Tana Tidung,Kabupaten,16
467,Tarakan,Kota,16
48,Batam,Kota,17
71,Bintan,Kabupaten,17
172,Karimun,Kabupaten,17
184,Kepulauan Anambas,Kabupaten,17
237,Lingga,Kabupaten,17
302,Natuna,Kabupaten,17
462,Tanjung Pinang,Kota,17
21,Bandar Lampung,Kota,18
223,Lampung Barat,Kabupaten,18
224,Lampung Selatan,Kabupaten,18
225,Lampung Tengah,Kabupaten,18
226,Lampung Timur,Kabupaten,18
227,Lampung Utara,Kabupaten,18
282,Mesuji,Kabupaten,18
283,Metro,Kota,18
355,Pesawaran,Kabupaten,18
356,Pesisir Barat,Kabupaten,18
368,Pringsewu,Kabupaten,18
458,Tanggamus,Kabupaten,18
490,Tulang Bawang,Kabupaten,18
491,Tulang Bawang Barat,Kabupaten,18
496,Way Kanan,Kabupaten,18
14,Ambon,Kota,19
99,Buru,Kabupaten,19
100,Buru Selatan,Kabupaten,19
185,Kepulauan Aru,Kabupaten,19
258,Maluku Barat Daya,Kabupaten,19
259,Maluku Tengah,Kabupaten,19
260,Maluku Tenggara,Kabupaten,19
261,Maluku Tenggara Barat,Kabupaten,19
400,Seram Bagian Barat,Kabupaten,19
401,Seram Bagian Timur,Kabupaten,19
488,Tual,Kota,19
138,Halmahera Barat,Kabupaten,20
139,Halmahera Selatan,Kabupaten,20
140,Halmahera Tengah,Kabupaten,20
141,Halmahera Timur,Kabupaten,20
142,Halmahera Utara,Kabupaten,20
191,Kepulauan Sula,Kabupaten,20
372,Pulau Morotai,Kabupaten,20
477,Ternate,Kota,20
478,Tidore Kepulauan,Kota,20
1,Aceh Barat,Kabupaten,21
2,Aceh Barat Daya,Kabupaten,21
3,Aceh Besar,Kabupaten,21
4,Aceh Jaya,Kabupaten,21
5,Aceh Selatan,Kabupaten,21
6,Aceh Singkil,Kabupaten,21
7,Aceh Tamiang,Kabupaten,21
8,Aceh Tengah,Kabupaten,21
9,Aceh Tenggara,Kabupaten,21
10,Aceh Timur,Kabupaten,21
11,Aceh Utara,Kabupaten,21
20,Banda Aceh,Kota,21
59,Bener Meriah,Kabupaten,21
72,Bireuen,Kabupaten,21
127,Gayo Lues,Kabupaten,21
230,Langsa,Kota,21
235,Lhokseumawe,Kota,21
300,Nagan Raya,Kabupaten,21
358,Pidie,Kabupaten,21
359,Pidie Jaya,Kabupaten,21
384,Sabang,Kota,21
414,Simeulue,Kabupaten,21
429,Subulussalam,Kota,21
68,Bima,Kabupaten,22
