id,name,shipping_city_id
258,Abiansemal,17
259,Kuta,17
260,Kuta Selatan,17
261,Kuta Utara,17
262,Mengwi,17
263,Petang,17
472,Bangli,32
473,Kintamani,32
474,Susut,32
475,Tembuku,32
1279,Banjar,94
1280,Buleleng,94
1281,Busungbiu,94
1282,Gerokgak,94
1283,Kubutambahan,94
1284,Sawan,94
1285,Seririt,94
1286,Sukasada,94
1287,Tejakula,94
1573,Denpasar Barat,114
1574,Denpasar Selatan,114
1575,Denpasar Timur,114
1576,Denpasar Utara,114
1764,Belah Batuh (Blahbatuh),128
1765,Gianyar,128
1766,Payangan,128
1767,Sukawati,128
1768,Tampak Siring,128
1769,Tegallalang,128
1770,Ubud,128
2232,Jembrana,161
2233,Melaya,161
2234,Mendoyo,161
2235,Negara,161
2236,Pekutatan,161
2370,Abang,170
2371,Bebandem,170
2372,Karang Asem,170
2373,Kubu,170
2374,Manggis,170
2375,Rendang,170
2376,Selat,170
2377,Sidemen,170
2748,Banjarangkan,197
2749,Dawan,197
2750,Klungkung,197
2751,Nusapenida,197
6179,Baturiti,447
6180,Kediri,447
6181,Kerambitan,447
6182,Marga,447
6183,Penebel,447
6184,Pupuan,447
6185,Selemadeg,447
6186,Selemadeg / Salamadeg Timur,447
6187,Selemadeg / Salemadeg Barat,447
6188,Tabanan,447
426,Bakam,27
427,Belinyu,27
428,Mendo Barat,27
429,Merawang,27
430,Pemali,27
431,Puding Besar,27
432,Riau Silip,27
433,Sungai Liat,27
434,Jebus,28
435,Kelapa,28
436,Mentok (Muntok),28
437,Parittiga,28
438,Simpang Teritip,28
439,Tempilang,28
440,Air Gegas,29
441,Kepulauan Pongok,29
442,Lepar Pongok,29
443,Payung,29
444,Pulau Besar,29
445,Simpang Rimba,29
446,Toboali,29
447,Tukak Sadai,29
448,Koba,30
449,Lubuk Besar,30
450,Namang,30
451,Pangkalan Baru,30
452,Simpang Katis,30
453,Sungai Selan,30
761,Badau,56
762,Membalong,56
763,Selat Nasik,56
764,Sijuk,56
765,Tanjung Pandan,56
766,Damar,57
767,Dendang,57
768,Gantung,57
769,Kelapa Kampit,57
770,Manggar,57
771,Simpang Pesak,57
772,Simpang Renggiang,57
4713,Bukit Intan,334
4714,Gabek,334
4715,Gerunggang,334
4716,Girimaya,334
4717,Pangkal Balam,334
4718,Rangkui,334
4719,Taman Sari,334
1461,Cibeber,106
1462,Cilegon,106
1463,Citangkil,106
1464,Ciwandan,106
1465,Gerogol,106
1466,Jombang,106
1467,Pulomerak,106
1468,Purwakarta,106
3298,Banjarsari,232
3299,Bayah,232
3300,Bojongmanik,232
3301,Cibadak,232
3302,Cibeber,232
3303,Cigemblong,232
3304,Cihara,232
3305,Cijaku,232
3306,Cikulur,232
3307,Cileles,232
3308,Cilograng,232
3309,Cimarga,232
3310,Cipanas,232
3311,Cirinten,232
3312,Curugbitung,232
3313,Gunung Kencana,232
3314,Kalanganyar,232
3315,Lebakgedong,232
3316,Leuwidamar,232
3317,Maja,232
3318,Malingping,232
3319,Muncang,232
3320,Panggarangan,232
3321,Rangkasbitung,232
3322,Sajira,232
3323,Sobang,232
3324,Wanasalam,232
3325,Warunggunung,232
4655,Angsana,331
4656,Banjar,331
4657,Bojong,331
4658,Cadasari,331
4659,Carita,331
4660,Cibaliung,331
4661,Cibitung,331
4662,Cigeulis,331
4663,Cikeudal (Cikedal),331
4664,Cikeusik,331
4665,Cimanggu,331
4666,Cimanuk,331
4667,Cipeucang,331
4668,Cisata,331
4669,Jiput,331
4670,Kaduhejo,331
4671,Karang Tanjung,331
4672,Koroncong,331
4673,Labuan,331
4674,Majasari,331
4675,Mandalawangi,331
4676,Mekarjaya,331
4677,Menes,331
4678,Munjul,331
4679,Pagelaran,331
4680,Pandeglang,331
4681,Panimbang,331
4682,Patia,331
4683,Picung,331
4684,Pulosari,331
4685,Saketi,331
4686,Sindangresmi,331
4687,Sobang,331
4688,Sukaresmi,331
4689,Sumur,331
5540,Anyar,402
5541,Bandung,402
5542,Baros,402
5543,Binuang,402
5544,Bojonegara,402
5545,Carenang (Cerenang),402
5546,Cikande,402
5547,Cikeusal,402
5548,Cinangka,402
5549,Ciomas,402
5550,Ciruas,402
5551,Gunungsari,402
5552,Jawilan,402
5553,Kibin,402
5554,Kopo,402
5555,Kragilan,402
5556,Kramatwatu,402
5557,Lebak Wangi,402
5558,Mancak,402
5559,Pabuaran,402
5560,Padarincang,402
5561,Pamarayan,402
5562,Petir,402
5563,Pontang,402
5564,Pulo Ampel,402
5565,Tanara,402
5566,Tirtayasa,402
5567,Tunjung Teja,402
5568,Waringin Kurung,402
5569,Cipocok Jaya,403
5570,Curug,403
5571,Kasemen,403
5572,Serang,403
5573,Taktakan,403
5574,Walantaka,403
6268,Balaraja,455
6269,Cikupa,455
6270,Cisauk,455
6271,Cisoka,455
6272,Curug,455
6273,Gunung Kaler,455
6274,Jambe,455
6275,Jayanti,455
6276,Kelapa Dua,455
6277,Kemiri,455
6278,Kosambi,455
6279,Kresek,455
6280,Kronjo,455
6281,Legok,455
6282,Mauk,455
6283,Mekar Baru,455
6284,Pagedangan,455
6285,Pakuhaji,455
6286,Panongan,455
6287,Pasar Kemis,455
6288,Rajeg,455
6289,Sepatan,455
6290,Sepatan Timur,455
6291,Sindang Jaya,455
6292,Solear,455
6293,Sukadiri,455
6294,Sukamulya,455
6295,Teluknaga,455
6296,Tigaraksa,455
6297,Batuceper,456
6298,Benda,456
6299,Cibodas,456
6300,Ciledug,456
6301,Cipondoh,456
6302,Jatiuwung,456
6303,Karang Tengah,456
6304,Karawaci,456
6305,Larangan,456
6306,Neglasari,456
6307,Periuk,456
6308,Pinang (Penang),456
6309,Tangerang,456
6310,Ciputat,457
6311,Ciputat Timur,457
6312,Pamulang,457
6313,Pondok Aren,457
6314,Serpong,457
6315,Serpong Utara,457
6316,Setu,457
832,Gading Cempaka,62
833,Kampung Melayu,62
834,Muara Bangka Hulu,62
835,Ratu Agung,62
836,Ratu Samban,62
837,Selebar,62
838,Singaran Pati,62
839,Sungai Serut,62
840,Teluk Segara,62
841,Air Nipis,63
842,Bunga Mas,63
843,Kedurang,63
844,Kedurang Ilir,63
845,Kota Manna,63
846,Manna,63
847,Pasar Manna,63
848,Pino,63
849,Pinoraya,63
850,Seginim,63
851,Ulu Manna,63
852,Bang Haji,64
853,Karang Tinggi,64
854,Merigi Kelindang,64
855,Merigi Sakti,64
856,Pagar Jati,64
857,Pematang Tiga,64
858,Pondok Kelapa,64
859,Pondok Kubang,64
860,Taba Penanjung,64
861,Talang Empat,64
862,Air Besi,65
863,Air Napal,65
864,Air Padang,65
865,Arga Makmur,65
866,Arma Jaya,65
867,Batik Nau,65
868,Enggano,65
869,Giri Mulia,65
870,Hulu Palik,65
871,Kerkap,65
872,Ketahun,65
873,Lais,65
874,Napal Putih,65
875,Padang Jaya,65
876,Putri Hijau,65
877,Tanjung Agung Palik,65
878,Ulok Kupai,65
2450,Kaur Selatan,175
2451,Kaur Tengah,175
2452,Kaur Utara,175
2453,Kelam Tengah,175
2454,Kinal,175
2455,Luas,175
2456,Lungkang Kule,175
2457,Maje,175
2458,Muara Sahung,175
2459,Nasal,175
2460,Padang Guci Hilir,175
2461,Padang Guci Hulu,175
2462,Semidang Gumai (Gumay),175
2463,Tanjung Kemuning,175
2464,Tetap (Muara Tetap),175
2563,Bermani Ilir,183
2564,Kebawetan (Kabawetan),183
2565,Kepahiang,183
2566,Merigi,183
2567,Muara Kemumu,183
2568,Seberang Musi,183
2569,Tebat Karai,183
2570,Ujan Mas,183
3326,Amen,233
3327,Bingin Kuning,233
3328,Lebong Atas,233
3329,Lebong Sakti,233
3330,Lebong Selatan,233
3331,Lebong Tengah,233
3332,Lebong Utara,233
3333,Pelabai,233
3334,Pinang Belapis,233
3335,Rimbo Pengadang,233
3336,Topos,233
3337,Uram Jaya,233
4142,Air Dikit,294
4143,Air Majunto,294
4144,Air Rami,294
4145,Ipuh (Muko-Muko Selatan),294
4146,Kota Mukomuko (Mukomuko Utara),294
4147,Lubuk Pinang,294
4148,Malin Deman,294
4149,Penarik,294
4150,Pondok Suguh,294
4151,Selagan Raya,294
4152,Sungai Rumbai,294
4153,Teramang Jaya,294
4154,Teras Terunjam,294
4155,V Koto,294
4156,XIV Koto,294
5274,Bermani Ulu,379
5275,Bermani Ulu Raya,379
5276,Binduriang,379
5277,Curup,379
5278,Curup Selatan,379
5279,Curup Tengah,379
5280,Curup Timur,379
5281,Curup Utara,379
5282,Kota Padang,379
5283,Padang Ulak Tanding,379
5284,Selupu Rejang,379
5285,Sindang Beliti Ilir,379
5286,Sindang Beliti Ulu,379
5287,Sindang Daratan,379
5288,Sindang Kelingi,379
5465,Air Periukan,397
5466,Ilir Talo,397
5467,Lubuk Sandi,397
5468,Seluma,397
5469,Seluma Barat,397
5470,Seluma Selatan,397
5471,Seluma Timur,397
5472,Seluma Utara,397
5473,Semidang Alas,397
5474,Semidang Alas Maras,397
5475,Sukaraja,397
5476,Talo,397
5477,Talo Kecil,397
5478,Ulu Talo,397
537,Bambang Lipuro,39
538,Banguntapan,39
539,Bantul,39
540,Dlingo,39
541,Imogiri,39
542,Jetis,39
543,Kasihan,39
544,Kretek,39
545,Pajangan,39
546,Pandak,39
547,Piyungan,39
548,Pleret,39
549,Pundong,39
550,Sanden,39
551,Sedayu,39
552,Sewon,39
553,Srandakan,39
1865,Gedang Sari,135
1866,Girisubo,135
1867,Karangmojo,135
1868,Ngawen,135
1869,Nglipar,135
1870,Paliyan,135
1871,Panggang,135
1872,Patuk,135
1873,Playen,135
1874,Ponjong,135
1875,Purwosari,135
1876,Rongkop,135
1877,Sapto Sari,135
1878,Semanu,135
1879,Semin,135
1880,Tanjungsari,135
1881,Tepus,135
1882,Wonosari,135
2930,Galur,210
2931,Girimulyo,210
2932,Kalibawang,210
2933,Kokap,210
2934,Lendah,210
2935,Nanggulan,210
2936,Panjatan,210
